Event, Location, Date, Submission deadline, Notification deadline
the conference The ICEL2013 welcomes submissions on any topic in the field of e-learning The, Las Vegas, May 10, 2013, None, None
the conference The ICEL2013 welcomes submissions on any topic in the field of e-learning The, Las Vegas, May 30, 2013, None, None
DEIS 2013 Asia Pacific University of Technology and Innovation APU Kuala Lumpur Malaysia March 4-6, Kuala Lumpur Malaysia, March 4, 2013, December 15, 2012, January 1, 2013
DEIS 2013 Asia Pacific University of Technology and Innovation APU Kuala Lumpur Malaysia March 4-6, Kuala Lumpur Malaysia, March 4, 2013, December 15, 2012, January 1, 2013
July 8-10, 2013, Czech Republic July, July 8, 2013, May 10, 2013, None 4, 2013
The Society of Digital Information and Wireless Communications, UTCC Bangkok Thailand, None, March 20, 2013, None 4, 2013
the Web EBW2013 University of the Thai Chamber of Commerce Bangkok Thailand May 7-9 2013, Commerce Bangkok Thailand, May 7, 2013, March 20, 2013, None 4, 2013
April 10-12, 2014, ICCTIM2014 Dubai UAE, None 10, 2014, March 10, 2014, March 20, 2014
Scope International Journal of Education IJE is a Quarterly peer-reviewed, Evaluation Virtual and, None 21, 2019, December 21, 2019, December 27, 2019
The Institution of Engineers India ULC Udaipur Rajasthan India during December 13th 14th 2019 ICTCS-2019, ULC Udaipur Rajasthan, December 13, 2019, December 14, 2019, None
The Institution of Engineers India ULC Udaipur Rajasthan India during December 13th 14th 2019 ICTCS-2019, ULC Udaipur Rajasthan, December 13, 2019, December 14, 2019, None
The proposed conference on the above theme will be held at Gulf University Bahrain From, University Bahrain Nov., November 11, 2012, September 25, 2012, October 10, 2012
the context of The 6th International Multi-Conference on Complexity Informatics and Cybernetics, in Orlando Florida, None None, 2015, March 10, 2015, None
International Symposium on ARTIFICIAL INTELLIGENCE https, Las Vegas USA, December 5, 2019, October 6, 2019, October 30, 2019
The CyberSec2012 is co-sponsored by IEEE Malaysia Chapter and All papers will be submitted to, Putra Malaysia Kuala, June 26, 2012, April 30, 2012, May 15, 2012
The Second International Conference on E-Technologies and Business on the Web, Kuala Lumpur Malaysia, March 18, 2014, February 18, 2014, March 4, 2014
The Third International Conference on Digital Information and Communication Technology and its Applications DICTAP2013 VSB-Technical, Czech Republic July, July 8, 2013, May 10, 2013, None 4, 2013
The Third International Conference on Digital Information and Communication Technology and its Applications DICTAP2013 VSB-Technical, Czech Republic July, July 8, 2013, May 10, 2013, None 4, 2013
posting THANK YOU CALL FOR PAPERS 3rd ICEEE2014 Asia Pacific University of Technology Innovation A.P.U, Kuala Lumpur Malaysia, March 18, 2014, February 18, 2014, March 4, 2014
The Fourth International Conference on Digital Information and Communication Technology and its Applications DICTAP2014 May, Commerce Bangkok Thailand, None None, 2014, April 6, 2014, April 15, 2014
FOR PAPERS Paper Submission Deadline EXTENDED June 20 2019 July 29 August 1 2019 Luxor, Las Vegas USA, None 17, 2019, June 20, 2019, June 27, 2019
The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications July 27-30 2015, Las Vegas USA, July 27, 2015, March 31, 2015, May 15, 2015
The Third International Conference on Digital Information and Communication Technology and its Applications, Lodz Poland Dates, July 8, 2013, None, None
the following conferences please consider submitting your paper to one of these conferences Name The, Lodz Poland Dates, October 23, 2013, None, None
The Third International Conference on Digital Information and Communication Technology and its Applications, Lodz Poland Dates, July 8, 2013, None, None
June 24-26, 2014, Czech Republic http, June 24, 2014, June 14, 2014, None 3, 2014
October 23-25, 2013, DIPECC- Dubai Deadline, October 23, 2013, September 1, 2013, September 15, 2013
October 23-25, 2013, DIPECC2013 Dubai UAE, October 23, 2013, October 20, 2013, October 18, 2013
YOU International Conference on Digital Security and Forensics DigitalSec2014 June 24- 26 2014, Czech Republic http, None 26, 2014, May 25, 2014, June 5, 2014
The Society of Digital Information and Wireless Communications, Participation Poland 2013-IEEE, None 23, 2013, August 5, 2013, None
ICeND 2013 March 4-6 2013 Malaysia ice sdiwc.net http Submission Deadline Dec. 15 2012 ICeND, 2013 Malaysia ice, March 4, 2013, March 4, 2013, January 1, 2013
The proposed conference on the above theme will be held at Universiti Teknologi Malaysia Kuala, Teknologi Malaysia Kuala, November 12, 2013, October 12, 2013, October 30, 2013
The proposed conference on the above theme will be held at Universiti Teknologi Malaysia Kuala, Teknologi Malaysia Kuala, November 12, 2013, October 12, 2013, October 22, 2013
May 16-18, 2012, UTCC Bangkok Thailand, May 16, 2012, None 16, 2012, April 1, 2012
International Symposium on ARTIFICIAL, Las Vegas USA, December 5, 2019, October 21, 2019, None 2, 2019
on Symposium on, Las Vegas USA, December 5, 2019, October 6, 2019, October 30, 2019
the proceedings of the 2019 International Conference on Computational Science Computational Intelligence CSCI https IEEE, Las Vegas USA, None None, 2014, October 6, 2019, October 30, 2019
The 2019 International Conference on COMPUTATIONAL SCIENCE COMPUTATIONAL INTELLIGENCE https IEEE Xplore entry https Paper, Las Vegas USA, December 5, 2019, October 21, 2019, November 8, 2019
the earlier announcements will receive the evaluation/decision by the original announced date, Las Vegas USA, December 5, 2019, October 21, 2019, November 8, 2019
FOR PAPERS Paper Submission Deadline October 6 2019 THE 2019 INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE, Las Vegas USA, December 5, 2019, October 6, 2019, October 30, 2019
The 2019 International Conference on COMPUTATIONAL SCIENCE COMPUTATIONAL INTELLIGENCE CSCI'19 December 5-7 2019 Las Vegas, Las Vegas USA, None None, 2014, October 21, 2019, November 8, 2019
the CSCI Conference is to facilitate increased opportunities for cross-fertilization across research topics that overlap, Las Vegas USA, December 5, 2019, October 21, 2019, None 2, 2019
the proceedings of the 2019 International Conference on Computational Science Computational Intelligence CSCI https, Las Vegas USA, December 5, 2019, November 5, 2019, None None, 2019
The 2019 International Conference on Computational Science Computational Intelligence https, Las Vegas USA, December 5, 2019, October 21, 2019, November 8, 2019
the following Social Network Design Social Media Design Information Retrieval in Social Contexts Information Retrieval, Las Vegas USA, None None, 2014, December 5, 2019, November 8, 2019
International Symposium on BIG DATA DATA, Las Vegas USA, December 5, 2019, November 5, 2019, None None, 2019
the proceedings of the 2019 International Conference on Computational Science Computational Intelligence CSCI https Since, Las Vegas USA, None None, 2014, December 5, 2019, None None, 2019
the proceedings of the 2019, Las Vegas USA, None None, 2014, November 5, 2019, None None, 2019
the proceedings of the 2019 International Conference on Computational Science Computational Intelligence CSCI https Since, Las Vegas USA, None None, 2014, October 21, 2019, November 8, 2019
the following CSCI-ISOT RESEARCH TRACKS INTERNET OF THINGS Intelligent Systems for IoT Environmental Monitoring Energy, Las Vegas USA, December 5, 2019, October 21, 2019, None 2, 2019
The 2015 International Conference on Advances in Big Data Analytics ABDA'15 July 27-30 2015 Monte, 11:59pm US Eastern, December 14, 2014, May 31, 2015, None 10, 2015
The 2015 International Conference on Advances in Big Data Analytics July 27-30 2015 Monte Carlo, Las Vegas USA, December 14, 2014, March 31, 2015, May 15, 2015
The 2015 International Conference on Bioinformatics and Computational Biology July 27-30 2015 Monte Carlo Resort, 11:59pm US Eastern, December 14, 2014, May 31, 2015, None 10, 2015
the following Prologue Biomedical Engineering and Science is the utility of engineering methods and design, Las Vegas USA, July 27, 2015, March 31, 2015, May 15, 2015
11th International Conference on Data Mining, Las Vegas USA, July 27, 2015, March 31, 2015, May 15, 2015
The 2015 International Conference on Embedded Systems and Applications ESA'15 July 27-30 2015 Monte Carlo, Las Vegas USA, December 14, 2014, March 31, 2015, May 15, 2015
University of Detroit Mercy, Las Vegas USA, December 14, 2014, March 31, 2015, May 15, 2015
The 2015 International Conference on Frontiers in Education Computer Science and Computer Engineering July 27-30, Las Vegas USA, July 27, 2015, March 31, 2015, May 15, 2015
The 2015 International Conference on Grid Cloud Computing and Applications July 27-30 2015 Monte Carlo, Las Vegas USA, December 14, 2014, March 31, 2015, May 15, 2015
the following Prologue Health Informatics and Medical Systems is an important area that is at, 11:59pm US Eastern, December 14, 2014, May 31, 2015, None 10, 2015
The 2015 International Conference on Health Informatics and Medical Systems HIMS'15 July 27-30 2015 Monte, 11:59pm US Eastern, December 14, 2014, May 31, 2015, None 10, 2015
